date_utc,residence,badge,logements,erreur
2026-07-07 07:01,Fac-Habitat Pierre Ringenbach (Sceaux),Dispo à venir,T1=Complet,-
2026-07-07 07:30,Fac-Habitat Adélaïde (Bourg-la-Reine),Dispo à venir,T1=Complet,-
2026-07-07 07:30,Fac-Habitat Hortense Wild (Châtillon),Dispo à venir,T1=Complet,-
2026-07-07 07:30,Fac-Habitat Erwin Guldner (Sceaux),Complet,T1=Complet,-
2026-07-07 07:30,Fac-Habitat Julie Victoire Daubié (Malakoff),Complet,T1=Complet,-
2026-07-07 07:30,Fac-Habitat Pierre Ringenbach (Sceaux),Dispo à venir,T1=Complet,-
2026-07-07 08:01,Fac-Habitat Adélaïde (Bourg-la-Reine),Dispo à venir,T1=Complet,-
2026-07-07 08:01,Fac-Habitat Hortense Wild (Châtillon),Dispo à venir,T1=Complet,-
2026-07-07 08:01,Fac-Habitat Erwin Guldner (Sceaux),Complet,T1=Complet,-
2026-07-07 08:01,Fac-Habitat Julie Victoire Daubié (Malakoff),Complet,T1=Complet,-
2026-07-07 08:01,Fac-Habitat Pierre Ringenbach (Sceaux),Dispo à venir,T1=Complet,-
2026-07-07 08:30,Fac-Habitat Adélaïde (Bourg-la-Reine),Dispo à venir,T1=Complet,-
2026-07-07 08:30,Fac-Habitat Hortense Wild (Châtillon),Dispo à venir,T1=Complet,-
